Column1,Column2
Data lake,A centralized repository that allows you to store all your structured and unstructured data at any scale
Off the shelf,"Something that is taken from something that already exists, instead of something you have created yourself"
Proxy,Gateway between you and the internet
Query,Keywords you use to look for data
Policy,Guideline(s) that have been officially agreed by a group of people
To upgrade,"To improve the quality or usefulness of something, or change it for something newer or of a better standard"
To add,To put two or more numbers or amounts together to get a total
To design,To make or draw plans for something
To evaluate,"To judge or calculate the quality, importance, amount, or value of something"
To find out,"To discover, either unexpectedly or by searching"
To diagnose,"To recognize and name the exact character of something, by examining it"
To analyze,To study something in a systematic and careful way
To understand,To know why or how something happens or works
To repair,"To put something that is damaged, broken, or not working correctly, back into good condition or make it work again"
To update,To make something more modern or suitable for use now by adding new information or changing its design
To determine,"To control or influence something directly, or to decide what will happen"
To collaborate,To work with someone else for a special purpose or on a particular project
To implement,To start using a plan or system
To test,"To do something in order to discover of something is safe, works correctly, etc., or if something is present"
To plan,"To think about and decide what you are going to do, and/or how, when, where etc., you are going to do it"
To install,"To put furniture, a machine, or a piece of equipment into position and make it ready to use"
To train,"To prepare someone or yourself for a job, activity, or sport, by learning skills and/or by mental or physical exercise"
White-collar worker/clerk,Someone who has a desk job at an office
To troubleshoot,"To solve a problem or to identify and determine the problem with something. Troubleshooting often involves the process of elimination, where a technician follows a set of steps to determing/resolve the problem"
BSc,Bachelor of Science
MSc,Master of Science
Governance,"The way that organizationsor countries are managed a the highest level, and the systems for doing this. A controlling influence on something."
Pragmatic,"Solving probles in a sensible way that suits the current existing conditions, rather than obeying fixed theories, ideas or rules"
Stakeholder,"A person such as an employee, customer, or citizen who is involved with an organization, society etc. and therefore has responsibilities towards it and an interest in its success"
Enroll at/in,"To put yourself or someone else onto the official list of members of a course, college, or group"
Tuition fees,Money that a student pays to a university for his/her teaching
The cutting edge,The mose up-to-date stage of development in a particular type of work or activity
Ad hoc,Not planned before it happened
Actuary,"A person who calculates how likely accidents, such as fire, flood, or loss of property, are to happen, and tells insurance companies how much they should charge their customers"
Graduate,A person who has obtained a first degree from university or college
Undergraduate,A student who is studying for their first degree at a college or university
Major (AmE),"The main subject that a college or university studen is studying, or the student himself or herself"
Breadcrumb navigation,The way in which someone finds there way around a website using breadcrumbs or links to previous pages visited
Back-end,Relating to the part of a computer program or system that the user does not see or use
Electronic footprint,"When you send a mail or use a credit card, this shows you where you have been and what you have been doing"
STEM,"Science, Technology, Engineering, and Mathematics (as subjects of study)"
Code,A term used to describe text that is written using the protocol of a particular language by a computer programmer
Programming,Writing code (a set of instructions) to be interpreted and excecuted by a computer or another electronic device
Routine,"Code called and executed anywhere in a program. Also referred to as a function, procedure, method, and subprogram"
Trackpad,= touchpad. A special area on an laptop or other computer that you touch in order to move the cursor or give an instruction
Novice,Someone who is not experienced in a job or situation
To run a program,To execute a program
Debugging,Removing the bugs or mistakes from a program
Define (a function),Figure out the details of the problems that you are trying to solve
Input,Something that is put into a system
Algorithm,"A set of mathematical instructions that, especially if given to a computer, will help to calculate an answer to a problem"
Iteration,A technique to sequence through a block of code repeatedly until a specific condition either exists or no longer exists
Parentheses,Symbols that are put around a word or phrase (UK: brackets)
Decomposition,To break code into smaller chunks
To execute,To make a computer program or instruction to work
Bridge code,"Refers to a system that maps the runtime behavior of different programming languages so they can share common resources. Thus, you can translate data and state across the two sides of a bridge"
Library,"Refers to a collection of files, programs, routings, scripts, or functions that can be referenced in the programming code"
Contributor,A person/company that gives support to help another person/company achieve its goal
Module,A discrete piece of code which can be independently created and maintained to be used in different systems
Syntax,The use of character structures that a computer can interpret
Ecosystem,"A collection of software projects, which are developed and co-evolve in the same environment"
Prototype,An early version of a product not yet manufactured or released
Test bench,An evironment used to verify the correctness or soundness of a design or model
Stub,A temporary placeholder for a function that will be implemented at a later time
